# RA(J2000), Dec (J2000), Flux(Jy)
19:39:25.026, -63:42:45.63, 14.820
19:40:53.356, -63:13:05.04, 0.085
19:37:21.253, -63:37:14.81, 0.071
19:38:15.398, -63:33:45.37, 0.066
19:37:32.197, -63:36:04.67, 0.061
19:35:37.135, -63:35:24.12, 0.046
19:38:09.765, -63:34:41.07, 0.035
19:39:13.601, -63:54:44.09, 0.026
19:41:09.476, -63:30:48.08, 0.025
19:34:22.463, -63:09:17.48, 0.024
19:42:22.248, -63:56:40.28, 0.020
19:40:41.783, -63:19:37.32, 0.018
19:41:07.704, -64:13:35.44, 0.016
19:38:26.339, -63:05:49.54, 0.012
